id,user,uid,version,changeset,timestamp
13514327,ahab003,4497723,3,43040159,2016-10-20T17:35:27Z
13515642,pj_99,6247560,7,53383976,2017-10-31T04:27:16Z
13515705,pj_99,6247560,6,53383976,2017-10-31T04:27:16Z
13515802,A_Martey,10431370,6,95891493,2020-12-15T17:33:49Z
13515983,GO_OSM,282860,6,46040513,2017-02-13T09:04:33Z
13516420,yaya_B,8484081,7,63790756,2018-10-23T10:53:12Z
13517059,doujinflip,131314,5,52361995,2017-09-25T17:17:47Z
13684527,Enock4seth,1803854,18,66472561,2019-01-20T11:17:01Z
13684664,DoodleBob,4339485,7,43042119,2016-10-20T19:19:22Z
13685018,Enock4seth,1803854,10,49211182,2017-06-03T02:41:50Z
13685166,Dotty1,6441824,12,52031620,2017-09-14T09:42:47Z
13685209,DoodleBob,4339485,9,43042589,2016-10-20T19:38:42Z
13685264,Enock4seth,1803854,10,51070264,2017-08-13T00:36:38Z
13685330,Dotty1,6441824,6,52031620,2017-09-14T09:42:47Z
13685443,Enock4seth,1803854,12,80848051,2020-02-11T11:46:33Z
13685497,GO_OSM,282860,8,40778686,2016-07-16T12:23:09Z
13685573,NorthArrow97,8794107,7,63856181,2018-10-25T06:37:33Z
13685647,NorthArrow97,8794107,7,63856181,2018-10-25T06:37:33Z
13685736,Enock4seth,1803854,13,80848051,2020-02-11T11:46:33Z
13685772,NorthArrow97,8794107,12,63856181,2018-10-25T06:37:33Z
13685869,GO_OSM,282860,4,40778686,2016-07-16T12:23:04Z
13685923,NorthArrow97,8794107,7,63856181,2018-10-25T06:37:33Z
13686004,LarsInder,12266780,18,95090650,2020-12-01T10:50:51Z
13686065,GO_OSM,282860,4,39950225,2016-06-11T11:07:12Z
13686219,GO_OSM,282860,7,40161107,2016-06-20T16:28:04Z
13686254,GO_OSM,282860,3,39950225,2016-06-11T11:07:14Z
13686308,MaillotJaune,8794053,7,63790676,2018-10-23T10:51:25Z
13686358,NorthArrow97,8794107,9,63858287,2018-10-25T08:03:34Z
13686416,NorthArrow97,8794107,8,63890593,2018-10-26T07:20:09Z
13686500,GneissBaker,12040682,10,97453126,2021-01-13T16:07:46Z
13686554,NorthArrow97,8794107,11,63890593,2018-10-26T07:20:09Z
13686591,DoodleBob,4339485,6,43042589,2016-10-20T19:38:43Z
13686638,NorthArrow97,8794107,7,63888508,2018-10-26T05:39:17Z
13686709,NorthArrow97,8794107,17,63888508,2018-10-26T05:39:17Z
13686769,DoodleBob,4339485,8,43040650,2016-10-20T18:04:26Z
